|id|site_id|title|price|sale_price|currency_id|available_quantity|sold_quantity|buying_mode|listing_type_id|stop_time|condition|permalink|thumbnail|accepts_mercadopago|attributes|original_price|category_id|official_store_id|domain_id|catalog_product_id|tags|order_backend|seller.id|seller.permalink|seller.registration_date|seller.car_dealer|seller.real_estate_agency|seller.tags|installments.quantity|installments.amount|installments.rate|installments.currency_id|address.state_id|address.state_name|address.city_id|address.city_name|shipping.free_shipping|shipping.mode|shipping.tags|shipping.logistic_type|shipping.store_pick_up|seller_address.id|seller_address.comment|seller_address.address_line|seller_address.zip_code|seller_address.country.id|seller_address.country.name|seller_address.state.id|seller_address.state.name|seller_address.city.id|seller_address.city.name|seller_address.latitude|seller_address.longitude|differential_pricing.id|sub_cat|prices
0|MCO594306549|MCO|Adaptador Display Inalámbrico Microsoft|241900||COP|1|0|buy_it_now|gold_special|2040-11-07T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-594306549-adaptador-display-inalambrico-microsoft-_JM|http://mco-s2-p.mlstatic.com/862133-MCO44057677452_112020-I.jpg|True|[{'value_struct': None, 'value_name': 'Microsoft', 'name': 'Marca', 'value_id': '15770', 'values': [{'id': '15770', 'name': 'Microsoft', 'struct': None, 'source': 4954751883138633}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'BRAND'}, {'id': 'CABLE_LENGTH', 'name': 'Largo del cable', 'value_id': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_name': '30 cm', 'value_struct': {'number': 30, 'unit': 'cm'}, 'values': [{'source': 4954751883138633, 'id': None, 'name': '30 cm', 'struct': {'number': 30, 'unit': 'cm'}}], 'source': 4954751883138633}, {'name': 'Condición del ítem', 'value_name': 'Nuevo', 'values': [{'struct': None, 'source': 4954751883138633, 'id': '2230284', 'name': 'Nuevo'}], 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633}, {'id': 'MODEL', 'value_name': 'P3Q-00017', 'values': [{'id': None, 'name': 'P3Q-00017', 'struct': None, 'source': 4954751883138633}], 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'name': 'Modelo', 'value_id': None, 'value_struct': None, 'attribute_group_id': 'OTHERS'}, {'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_name': '10.6 cm', 'value_struct': {'number': 10.6, 'unit': 'cm'}, 'attribute_group_name': 'Otros', 'source': 4333789534002961, 'value_id': None, 'values': [{'id': None, 'name': '10.6 cm', 'struct': {'number': 10.6, 'unit': 'cm'}, 'source': 4333789534002961}], 'attribute_group_id': 'OTHERS'}, {'value_id': None, 'value_name': '120 g', 'value_struct': {'number': 120, 'unit': 'g'}, 'attribute_group_name': 'Otros', 'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'source': 4333789534002961, 'values': [{'id': None, 'name': '120 g', 'struct': {'unit': 'g', 'number': 120}, 'source': 4333789534002961}], 'attribute_group_id': 'OTHERS'}]||MCO167791|1315.0|MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|1|530380977|||False|False||36|6719.44|0|COP|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero||||audio|
1|MCO451603847|MCO|Convertidor De Audio Optico A Rca Analogico Fibra Optica|21900||COP|50|500|buy_it_now|gold_special|2037-11-30T19:14:48.000Z|new|https://articulo.mercadolibre.com.co/MCO-451603847-convertidor-de-audio-optico-a-rca-analogico-fibra-optica-_JM|http://mco-s2-p.mlstatic.com/885805-MCO41169340719_032020-I.jpg|True|[{'name': 'Marca', 'attribute_group_id': 'OTHERS', 'values': [{'id': None, 'name': 'Medellin Electrónica', 'struct': None, 'source': 7092}], 'attribute_group_name': 'Otros', 'source': 7092, 'id': 'BRAND', 'value_id': None, 'value_name': 'Medellin Electrónica', 'value_struct': None}, {'value_struct': {'number': 90, 'unit': 'cm'}, 'values': [{'id': None, 'name': '90 cm', 'struct': {'number': 90, 'unit': 'cm'}, 'source': 7092}], 'attribute_group_id': 'OTHERS', 'source': 7092, 'id': 'CABLE_LENGTH', 'name': 'Largo del cable', 'value_id': None, 'value_name': '90 cm', 'attribute_group_name': 'Otros'}, {'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'attribute_group_name': 'Otros', 'source': 1, 'name': 'Condición del ítem', 'value_id': '2230284', 'attribute_group_id': 'OTHERS'}, {'name': 'Modelo', 'value_id': None, 'value_name': 'Óptico - Rca', 'attribute_group_name': 'Otros', 'source': 7092, 'id': 'MODEL', 'values': [{'source': 7092, 'id': None, 'name': 'Óptico - Rca', 'struct': None}], 'attribute_group_id': 'OTHERS', 'value_struct': None}, {'value_id': None, 'attribute_group_id': 'OTHERS', 'source': 4333789534002961, 'attribute_group_name': 'Otros', 'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_name': '10 cm', 'value_struct': {'unit': 'cm', 'number': 10}, 'values': [{'id': None, 'name': '10 cm', 'struct': {'number': 10, 'unit': 'cm'}, 'source': 4333789534002961}]}, {'name': 'Peso del paquete', 'value_id': None, 'value_struct': {'unit': 'g', 'number': 140}, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4333789534002961, 'id': 'PACKAGE_WEIGHT', 'value_name': '140 g', 'values': [{'struct': {'unit': 'g', 'number': 140}, 'source': 4333789534002961, 'id': None, 'name': '140 g'}]}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['dragged_bids_and_visits', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|2|191222360|||False|False||36|608.33|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|False|me2|['fulfillment']|fulfillment|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín||||audio|
2|MCO565358784|MCO|Transmisor Y Receptor Bluetooth Usb V5.0 Para Tv Pc O Carros|26990||COP|1|500|buy_it_now|gold_pro|2040-05-31T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-565358784-transmisor-y-receptor-bluetooth-usb-v50-para-tv-pc-o-carros-_JM|http://mco-s1-p.mlstatic.com/931008-MCO44573573571_012021-I.jpg|True|[{'name': 'Marca', 'values': [{'name': 'Bluetooth', 'struct': None, 'source': 3045741222775799, 'id': None}], 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'value_id': None, 'value_name': 'Bluetooth', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 3045741222775799}, {'name': 'Largo del cable', 'attribute_group_name': 'Otros', 'source': 3045741222775799, 'id': 'CABLE_LENGTH', 'value_id': '-1', 'value_name': None, 'value_struct': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3045741222775799}], 'attribute_group_id': 'OTHERS'}, {'name': 'Condición del ítem', 'value_struct': None, 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 3045741222775799}], 'attribute_group_id': 'OTHERS', 'source': 3045741222775799, 'value_id': '2230284'}, {'attribute_group_id': 'OTHERS', 'source': 3045741222775799, 'value_name': None, 'value_struct': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3045741222775799}], 'attribute_group_name': 'Otros', 'id': 'MODEL', 'name': 'Modelo', 'value_id': '-1'}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|3|88383053|||False|False||12|2249.17|0|COP|CO-SAN|Santander|TUNPQ0JVQzkzMTE4|Bucaramanga|False|me2|[]|drop_off|False|||||CO|Colombia|CO-SAN|Santander|TUNPQ0JVQzkzMTE4|Bucaramanga|||33602181.0|audio|
3|MCO565238607|MCO|Transmisor Y Receptor Bluetooth Audio Música Tv Equipo|39990||COP|1|500|buy_it_now|gold_pro|2040-05-31T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-565238607-transmisor-y-receptor-bluetooth-audio-musica-tv-equipo-_JM|http://mco-s2-p.mlstatic.com/881749-MCO42085631654_062020-I.jpg|True|[{'id': 'ITEM_CONDITION', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 7092}], 'attribute_group_id': 'OTHERS', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 7092}, {'value_struct': {'number': 11.2, 'unit': 'cm'}, 'values': [{'name': '11.2 cm', 'struct': {'unit': 'cm', 'number': 11.2}, 'source': 4333789534002961, 'id': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4333789534002961, 'id': 'PACKAGE_LENGTH', 'value_id': None, 'value_name': '11.2 cm', 'name': 'Largo del paquete'}, {'values': [{'name': '80 g', 'struct': {'number': 80, 'unit': 'g'}, 'source': 4333789534002961, 'id': None}], 'attribute_group_id': 'OTHERS', 'source': 4333789534002961, 'value_struct': {'number': 80, 'unit': 'g'}, 'name': 'Peso del paquete', 'value_id': None, 'value_name': '80 g', 'attribute_group_name': 'Otros', 'id': 'PACKAGE_WEIGHT'}]||MCO3698||MCO-ELECTRONIC_ACCESSORIES_AND_SPARE_PARTS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']|4|86467128|||False|False||12|3332.5|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|False|me2|['fulfillment']|fulfillment|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|||33602181.0|audio|
4|MCO497773238|MCO|Adaptador Receptor Bluetooth 3.5mm Aux Carro Manos Libres|15900||COP|100|500|buy_it_now|gold_special|2038-12-11T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-497773238-adaptador-receptor-bluetooth-35mm-aux-carro-manos-libres-_JM|http://mco-s1-p.mlstatic.com/907032-MCO31006484083_062019-I.jpg|True|[{'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'value_id': '2230284', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1572}], 'attribute_group_name': 'Otros', 'source': 1572, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem'}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|5|155418681|||False|False||36|441.67|0|COP|CO-DC|Bogotá D.C.|TUNPQ1BVRTg0NTU0|Puente Aranda|False|me2|['self_service_in']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ1BVRTg0NTU0|Puente Aranda||||audio|
5|MCO538540054|MCO|Adaptador Receptor Audio Bluetooth Bose Sounddock 30 Pines|60990||COP|1|500|buy_it_now|gold_special|2039-10-12T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-538540054-adaptador-receptor-audio-bluetooth-bose-sounddock-30-pines-_JM|http://mco-s1-p.mlstatic.com/901997-MCO32572099308_102019-I.jpg|True|[{'source': 3376461333454861, 'value_struct': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'BRAND', 'name': 'Marca', 'value_id': '-1', 'value_name': None}, {'name': 'Largo del cable', 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3376461333454861}], 'source': 3376461333454861, 'id': 'CABLE_LENGTH', 'value_id': '-1', 'value_name': None, 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'value_id': '2230284', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_name': 'Nuevo'}, {'name': 'Modelo', 'value_id': None, 'value_name': '30 pines', 'value_struct': None, 'values': [{'id': None, 'name': '30 pines', 'struct': None, 'source': 3376461333454861}], 'attribute_group_name': 'Otros', 'id': 'MODEL', 'source': 3376461333454861, 'attribute_group_id': 'OTHERS'}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|6|26596779|||False|False||36|1694.17|0|COP|CO-ANT|Antioquia|TUNPQ0VOVjU5YjYx|Envigado|False|me2|[]|drop_off|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ0VOVjU5YjYx|Envigado||||audio|
6|MCO508880540|MCO|Adaptador Receptor Audio Bluetooth V4.2 Recargable 3.5mm|16900||COP|50|500|buy_it_now|gold_special|2039-03-31T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-508880540-adaptador-receptor-audio-bluetooth-v42-recargable-35mm-_JM|http://mco-s1-p.mlstatic.com/822231-MCO31111756862_062019-I.jpg|True|[{'values': [{'id': None, 'name': 'Medellin Electronica', 'struct': None, 'source': 3376461333454861}], 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'id': 'BRAND', 'name': 'Marca', 'value_name': 'Medellin Electronica', 'value_struct': None, 'value_id': None, 'attribute_group_id': 'OTHERS'}, {'name': 'Largo del cable', 'value_name': None, 'value_struct': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3376461333454861}], 'attribute_group_name': 'Otros', 'id': 'CABLE_LENGTH', 'attribute_group_id': 'OTHERS', 'source': 3376461333454861, 'value_id': '-1'}, {'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1572}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_name': 'Nuevo', 'source': 1572}, {'attribute_group_id': 'OTHERS', 'name': 'Modelo', 'value_id': None, 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'id': 'MODEL', 'value_name': 'BL 4.2', 'values': [{'source': 3376461333454861, 'id': None, 'name': 'BL 4.2', 'struct': None}]}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|7|191222360|||False|False||36|469.44|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|False|me2|[]|drop_off|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín||||audio|
7|MCO532382473|MCO|Adaptador Convertidor De Audio Optico A Rca Analogo + Cable|22800||COP|1|500|buy_it_now|gold_special|2040-05-01T03:43:31.000Z|new|https://articulo.mercadolibre.com.co/MCO-532382473-adaptador-convertidor-de-audio-optico-a-rca-analogo-cable-_JM|http://mco-s2-p.mlstatic.com/880611-MCO43476852663_092020-I.jpg|True|[{'name': 'Marca', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'value_struct': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3570163010178927}], 'source': 3570163010178927, 'id': 'BRAND', 'value_id': '-1', 'value_name': None}, {'id': 'ITEM_CONDITION', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 3570163010178927}], 'attribute_group_name': 'Otros', 'source': 3570163010178927, 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo'}, {'source': 3570163010178927, 'id': 'MODEL', 'value_id': '-1', 'value_name': None, 'value_struct': None, 'attribute_group_name': 'Otros', 'name': 'Modelo', 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3570163010178927}], 'attribute_group_id': 'OTHERS'}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|8|249915052|||False|False||36|633.33|0|COP|CO-DC|Bogotá D.C.|TUNPQ1JBRjkyNTA2|Rafael Uribe Uribe|False|me2|['self_service_in']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ1JBRjkyNTA2|Rafael Uribe Uribe||||audio|
8|MCO453617096|MCO|Convertidor De Rca A Hdmi - Dvd Camara Play 2 A Un Tv Hdmi|24900||COP|1|500|buy_it_now|gold_special|2040-05-09T23:42:38.000Z|new|https://articulo.mercadolibre.com.co/MCO-453617096-convertidor-de-rca-a-hdmi-dvd-camara-play-2-a-un-tv-hdmi-_JM|http://mco-s1-p.mlstatic.com/973842-MCO31134363098_062019-I.jpg|True|[{'id': 'BRAND', 'name': 'Marca', 'value_id': None, 'value_name': 'Medellin Electronica', 'value_struct': None, 'source': 3376461333454861, 'values': [{'id': None, 'name': 'Medellin Electronica', 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'values': [{'source': 3376461333454861, 'id': '-1', 'name': None, 'struct': None}], 'source': 3376461333454861, 'name': 'Largo del cable', 'value_id': '-1', 'value_name': None, 'value_struct': None, 'id': 'CABLE_LENGTH', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1577}], 'attribute_group_name': 'Otros', 'name': 'Condición del ítem', 'attribute_group_id': 'OTHERS', 'source': 1577}, {'values': [{'struct': None, 'source': 3376461333454861, 'id': None, 'name': 'RCA-HDMI'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'id': 'MODEL', 'value_id': None, 'value_name': 'RCA-HDMI', 'name': 'Modelo', 'value_struct': None}, {'name': 'Largo del paquete', 'value_id': None, 'values': [{'id': None, 'name': '13.2 cm', 'struct': {'number': 13.2, 'unit': 'cm'}, 'source': 4333789534002961}], 'source': 4333789534002961, 'attribute_group_name': 'Otros', 'id': 'PACKAGE_LENGTH', 'value_name': '13.2 cm', 'value_struct': {'number': 13.2, 'unit': 'cm'}, 'attribute_group_id': 'OTHERS'}, {'values': [{'id': None, 'name': '60 g', 'struct': {'number': 60, 'unit': 'g'}, 'source': 4333789534002961}], 'attribute_group_id': 'OTHERS', 'id': 'PACKAGE_WEIGHT', 'value_id': None, 'value_name': '60 g', 'source': 4333789534002961, 'name': 'Peso del paquete', 'value_struct': {'number': 60, 'unit': 'g'}, 'attribute_group_name': 'Otros'}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['dragged_bids_and_visits', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']|9|191222360|||False|False||36|691.67|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|False|me2|['fulfillment']|fulfillment|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín||||audio|
9|MCO502939925|MCO|Convertidor Adaptador De Hdmi A Rca Video Full Hd 1080p|23700||COP|1|500|buy_it_now|gold_special|2039-02-02T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-502939925-convertidor-adaptador-de-hdmi-a-rca-video-full-hd-1080p-_JM|http://mco-s2-p.mlstatic.com/661841-MCO31854995950_082019-I.jpg|True|[{'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 1572, 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1572}]}, {'id': 'MODEL', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 7092, 'name': 'Modelo', 'value_id': None, 'value_name': 'HDMI A RCA', 'values': [{'id': None, 'name': 'HDMI A RCA', 'struct': None, 'source': 7092}]}]||MCO167791||MCO-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|10|249915052|||False|False||36|658.33|0|COP|CO-DC|Bogotá D.C.|TUNPQ1JBRjkyNTA2|Rafael Uribe Uribe|False|me2|['self_service_in']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ1JBRjkyNTA2|Rafael Uribe Uribe||||audio|
