|id|site_id|title|price|sale_price|currency_id|available_quantity|sold_quantity|buying_mode|listing_type_id|stop_time|condition|permalink|thumbnail|accepts_mercadopago|attributes|original_price|category_id|official_store_id|domain_id|catalog_product_id|tags|order_backend|seller.id|seller.permalink|seller.registration_date|seller.car_dealer|seller.real_estate_agency|seller.tags|installments.quantity|installments.amount|installments.rate|installments.currency_id|address.state_id|address.state_name|address.city_id|address.city_name|shipping.free_shipping|shipping.mode|shipping.tags|shipping.logistic_type|shipping.store_pick_up|seller_address.id|seller_address.comment|seller_address.address_line|seller_address.zip_code|seller_address.country.id|seller_address.country.name|seller_address.state.id|seller_address.state.name|seller_address.city.id|seller_address.city.name|seller_address.latitude|seller_address.longitude|differential_pricing.id|sub_cat|installments|prices
0|MCO516904965|MCO|Mini Proyector Wifi Led Hd 1080p Hdmi Usb  1200 Lumens|307500||COP|1|250|buy_it_now|gold_special|2040-10-14T18:02:02.000Z|new|https://articulo.mercadolibre.com.co/MCO-516904965-mini-proyector-wifi-led-hd-1080p-hdmi-usb-1200-lumens-_JM|http://mco-s2-p.mlstatic.com/911109-MCO31565220918_072019-I.jpg|True|[{'value_id': None, 'value_name': 'proyector wifi', 'value_struct': None, 'values': [{'name': 'proyector wifi', 'struct': None, 'source': 3376461333454861, 'id': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'id': 'BRAND', 'name': 'Marca'}, {'id': 'ITEM_CONDITION', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1572}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1572, 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo'}, {'value_id': None, 'value_struct': {'number': 19.4, 'unit': 'cm'}, 'values': [{'struct': {'unit': 'cm', 'number': 19.4}, 'source': 4333789534002961, 'id': None, 'name': '19.4 cm'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_name': '19.4 cm', 'source': 4333789534002961}, {'source': 4333789534002961, 'attribute_group_name': 'Otros', 'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_id': None, 'value_name': '1300 g', 'value_struct': {'number': 1300, 'unit': 'g'}, 'values': [{'id': None, 'name': '1300 g', 'struct': {'number': 1300, 'unit': 'g'}, 'source': 4333789534002961}], 'attribute_group_id': 'OTHERS'}, {'attribute_group_name': 'Otros', 'source': 1183438784296846, 'name': 'Peso', 'value_name': '1 kg', 'value_struct': {'number': 1, 'unit': 'kg'}, 'values': [{'id': '59112', 'name': '1 kg', 'struct': {'number': 1, 'unit': 'kg'}, 'source': 1183438784296846}], 'attribute_group_id': 'OTHERS', 'id': 'WEIGHT', 'value_id': '59112'}]||MCO11889||MCO-PROJECTORS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|1|66208468|||False|False||36.0|8541.67|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires|True|me2|['fulfillment', 'self_service_out', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires||||screens||
1|MCO453304797|MCO|Soporte Monitor Graduable Elevamonitor 5 Alturas|55000||COP|1|250|buy_it_now|gold_special|2037-07-26T16:04:12.000Z|new|https://articulo.mercadolibre.com.co/MCO-453304797-soporte-monitor-graduable-elevamonitor-5-alturas-_JM|http://mco-s2-p.mlstatic.com/835659-MCO31104286051_062019-I.jpg|True|[{'id': 'BRAND', 'value_name': 'ARTECMA', 'value_struct': None, 'values': [{'id': None, 'name': 'ARTECMA', 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'name': 'Marca', 'value_id': None, 'attribute_group_name': 'Otros', 'source': 3376461333454861}, {'name': 'Condición del ítem', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1}], 'attribute_group_id': 'OTHERS', 'source': 1, 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_name': 'Otros'}]||MCO4799||MCO-ELECTRONIC_ACCESSORIES_AND_SPARE_PARTS||['dragged_bids_and_visits', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|2|149423072|||False|False||36.0|1527.78|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ0VORzkzMTUz|Engativá|False|me2|['self_service_out']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0VORzkzMTUz|Engativá||||screens||
2|MCO557977581|MCO|Mini Proyector Led Excelente Precio|146950||COP|1|50|buy_it_now|gold_special|2040-03-27T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-557977581-mini-proyector-led-excelente-precio-_JM|http://mco-s2-p.mlstatic.com/888610-MCO41805492910_052020-I.jpg|True|[{'attribute_group_name': 'Otros', 'name': 'Marca', 'value_name': None, 'attribute_group_id': 'OTHERS', 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3376461333454861}], 'source': 3376461333454861, 'id': 'BRAND', 'value_id': '-1', 'value_struct': None}, {'value_name': 'Nuevo', 'values': [{'name': 'Nuevo', 'struct': None, 'source': 6808261514773724, 'id': '2230284'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'source': 6808261514773724, 'value_id': '2230284', 'value_struct': None}, {'value_id': '-1', 'value_name': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'source': 3376461333454861, 'id': 'MODEL', 'name': 'Modelo', 'value_struct': None, 'attribute_group_name': 'Otros'}]||MCO11889||MCO-PROJECTORS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|3|515467467|||False|False||36.0|4081.94|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires|True|me2|['self_service_in', 'mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires||||screens||
3|MCO451614483|MCO|Soporte Base Monitor Pantalla Altura Graduable|69000||COP|1|250|buy_it_now|gold_pro|2038-01-25T17:29:56.000Z|new|https://articulo.mercadolibre.com.co/MCO-451614483-soporte-base-monitor-pantalla-altura-graduable-_JM|http://mco-s2-p.mlstatic.com/757385-MCO31007421473_062019-I.jpg|True|[{'attribute_group_id': 'OTHERS', 'source': 3376461333454861, 'id': 'BRAND', 'value_struct': None, 'value_name': 'ARTECMA', 'values': [{'id': None, 'name': 'ARTECMA', 'struct': None, 'source': 3376461333454861}], 'attribute_group_name': 'Otros', 'name': 'Marca', 'value_id': None}, {'name': 'Condición del ítem', 'value_name': 'Nuevo', 'values': [{'source': 5689318823430110, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_name': 'Otros', 'source': 5689318823430110, 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_struct': None, 'attribute_group_id': 'OTHERS'}]||MCO4799||MCO-ELECTRONIC_ACCESSORIES_AND_SPARE_PARTS||['dragged_bids_and_visits', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|4|149423072|||False|False||12.0|5750.0|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ0VORzkzMTUz|Engativá|False|me2|['self_service_out']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0VORzkzMTUz|Engativá|||33602181.0|screens||
4|MCO534758093|MCO|Soporte Video Beam Proyector De Pared/techo, Jd Spp-01 Blanc|59900||COP|1|250|buy_it_now|gold_special|2040-01-28T02:04:16.000Z|new|https://articulo.mercadolibre.com.co/MCO-534758093-soporte-video-beam-proyector-de-paredtecho-jd-spp-01-blanc-_JM|http://mco-s2-p.mlstatic.com/637490-MCO31104265510_062019-I.jpg|True|[{'value_name': 'JD', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 3376461333454861, 'id': 'BRAND', 'value_id': None, 'attribute_group_name': 'Otros', 'name': 'Marca', 'values': [{'name': 'JD', 'struct': None, 'source': 3376461333454861, 'id': None}]}, {'id': 'ITEM_CONDITION', 'source': 1, 'attribute_group_name': 'Otros', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}], 'attribute_group_id': 'OTHERS'}, {'value_name': 'SPP-01', 'value_struct': None, 'values': [{'source': 3376461333454861, 'id': None, 'name': 'SPP-01', 'struct': None}], 'attribute_group_id': 'OTHERS', 'id': 'MODEL', 'value_id': None, 'source': 3376461333454861, 'name': 'Modelo', 'attribute_group_name': 'Otros'}]||MCO11889||MCO-PROJECTORS||['dragged_bids_and_visits', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|5|52392766|||False|False||36.0|1663.89|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ1RFVTY1OTk1|Teusaquillo|False|me2|['self_service_in']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ1RFVTY1OTk1|Teusaquillo||||screens||
5|MCO509367649|MCO|Mini Proyector Led Excelente Precio|147000||COP|50|250|buy_it_now|gold_special|2040-08-27T18:51:54.000Z|new|https://articulo.mercadolibre.com.co/MCO-509367649-mini-proyector-led-excelente-precio-_JM|http://mco-s2-p.mlstatic.com/774716-MCO31559796917_072019-I.jpg|True|[{'name': 'Marca', 'value_id': None, 'value_name': 'Mini proyector Uc 28', 'values': [{'id': None, 'name': 'Mini proyector Uc 28', 'struct': None, 'source': 1505}], 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 1505}, {'name': 'Condición del ítem', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1572, 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 1572}], 'value_id': '2230284'}, {'id': 'MODEL', 'name': 'Modelo', 'value_id': None, 'values': [{'id': None, 'name': 'Uc 28', 'struct': None, 'source': 1505}], 'attribute_group_name': 'Otros', 'value_name': 'Uc 28', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 1505}, {'value_name': '17.2 cm', 'value_struct': {'number': 17.2, 'unit': 'cm'}, 'values': [{'name': '17.2 cm', 'struct': {'number': 17.2, 'unit': 'cm'}, 'source': 4333789534002961, 'id': None}], 'attribute_group_name': 'Otros', 'source': 4333789534002961, 'id': 'PACKAGE_LENGTH', 'name': 'Largo del paquete', 'value_id': None, 'attribute_group_id': 'OTHERS'}, {'value_id': None, 'value_name': '660 g', 'values': [{'id': None, 'name': '660 g', 'struct': {'number': 660, 'unit': 'g'}, 'source': 4333789534002961}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4333789534002961, 'id': 'PACKAGE_WEIGHT', 'name': 'Peso del paquete', 'value_struct': {'number': 660, 'unit': 'g'}}]||MCO11889||MCO-PROJECTORS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|6|66208468|||False|False||36.0|4083.33|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires|True|me2|['self_service_in', 'mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires||||screens||
6|MCO558104459|MCO|Mini Proyector Wifi Led Hd 1080p Hdmi Usb 1200 Lumens|307900||COP|1|50|buy_it_now|gold_special|2040-03-29T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-558104459-mini-proyector-wifi-led-hd-1080p-hdmi-usb-1200-lumens-_JM|http://mco-s2-p.mlstatic.com/812355-MCO41330070073_042020-I.jpg|True|[{'name': 'Marca', 'value_struct': None, 'values': [{'name': 'uc-', 'struct': None, 'source': 3376461333454861, 'id': None}], 'attribute_group_id': 'OTHERS', 'source': 3376461333454861, 'id': 'BRAND', 'value_name': 'uc-', 'attribute_group_name': 'Otros', 'value_id': None}, {'value_struct': None, 'values': [{'source': 6808261514773724, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'source': 6808261514773724}, {'value_struct': None, 'values': [{'id': None, 'name': 'wifi', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros', 'name': 'Modelo', 'value_name': 'wifi', 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'id': 'MODEL', 'value_id': None}, {'id': 'WEIGHT', 'name': 'Peso', 'value_id': '59112', 'value_struct': {'number': 1, 'unit': 'kg'}, 'attribute_group_name': 'Otros', 'source': 1183438784296846, 'value_name': '1 kg', 'values': [{'struct': {'number': 1, 'unit': 'kg'}, 'source': 1183438784296846, 'id': '59112', 'name': '1 kg'}], 'attribute_group_id': 'OTHERS'}]||MCO11889||MCO-PROJECTORS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|7|515467467|||False|False||36.0|8552.78|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires|True|me2|['self_service_in', 'mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ01BUjU5NzU1|Martires||||screens||
7|MCO557369979|MCO|Proyector Epson Inalámbrico Powerlite X41+|2839900||COP|1|5|buy_it_now|gold_special|2040-03-20T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-557369979-proyector-epson-inalambrico-powerlite-x41-_JM|http://mco-s2-p.mlstatic.com/650106-MCO41235184391_032020-I.jpg|True|[{'id': 'BRAND', 'value_id': '1823', 'attribute_group_name': 'Otros', 'values': [{'id': '1823', 'name': 'Epson', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'name': 'Marca', 'value_name': 'Epson', 'value_struct': None}, {'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros'}, {'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1000427007642219, 'id': 'LINE', 'name': 'Línea', 'value_id': None, 'value_name': 'PowerLite', 'values': [{'name': 'PowerLite', 'struct': None, 'source': 1000427007642219, 'id': None}]}, {'id': 'MODEL', 'value_name': 'V11H843021', 'value_struct': None, 'values': [{'id': None, 'name': 'V11H843021', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'name': 'Modelo', 'value_id': None, 'attribute_group_name': 'Otros', 'source': 6808261514773724}]||MCO11889|71.0|MCO-PROJECTORS||['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|8|394887418|||False|False||36.0|78886.11|0.0|COP|CO-CUN|Cundinamarca|TUNPQ0NPVGFiYzZm|Cota|True|me2|['mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0NPVGFiYzZm|Cota||||screens||
8|MCO598978045|MCO|Proyector Videobeam Wifi Combo Full Celular Android iPhone|499990||COP|1|25|buy_it_now|gold_special|2040-12-13T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-598978045-proyector-videobeam-wifi-combo-full-celular-android-iphone-_JM|http://mco-s2-p.mlstatic.com/885389-MCO44682456066_012021-I.jpg|True|[{'value_id': None, 'value_name': 'Weton', 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'id': 'BRAND', 'name': 'Marca', 'value_struct': None, 'values': [{'source': 3376461333454861, 'id': None, 'name': 'Weton', 'struct': None}], 'attribute_group_id': 'OTHERS'}, {'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724, 'name': 'Condición del ítem', 'value_id': '2230284', 'value_struct': None, 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS'}, {'name': 'Modelo', 'value_id': None, 'value_name': 'WT-ProjectorE08', 'attribute_group_id': 'OTHERS', 'id': 'MODEL', 'values': [{'struct': None, 'source': 3376461333454861, 'id': None, 'name': 'WT-ProjectorE08'}], 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'value_struct': None}]||MCO11889||MCO-PROJECTORS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|9|158416189|||False|False||36.0|13888.61|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ1NVQjUzNzQ4|Suba|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ1NVQjUzNzQ4|Suba||||screens||
9|MCO593532562|MCO|Proyector Led Video Beam 1800lumens Full Hd 1080p 130 |460000||COP|1|5|buy_it_now|gold_special|2040-11-02T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-593532562-proyector-led-video-beam-1800lumens-full-hd-1080p-130-_JM|http://mco-s1-p.mlstatic.com/608091-MCO44018254243_112020-I.jpg|True|[{'value_id': '2230284', 'value_struct': None, 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'values': [{'source': 6808261514773724, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'ITEM_CONDITION'}, {'values': [{'id': None, 'name': 'T2', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724, 'value_name': 'T2', 'value_struct': None, 'value_id': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'MODEL', 'name': 'Modelo'}]||MCO11889||MCO-PROJECTORS||['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|10|583648487|||False|False||36.0|12777.78|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero|True|me2|['self_service_in', 'mandatory_free_shipping']|xd_drop_off|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero||||screens||
