|id|site_id|title|price|sale_price|currency_id|available_quantity|sold_quantity|buying_mode|listing_type_id|stop_time|condition|permalink|thumbnail|accepts_mercadopago|attributes|original_price|category_id|official_store_id|domain_id|catalog_product_id|tags|order_backend|seller.id|seller.permalink|seller.registration_date|seller.car_dealer|seller.real_estate_agency|seller.tags|installments.quantity|installments.amount|installments.rate|installments.currency_id|address.state_id|address.state_name|address.city_id|address.city_name|shipping.free_shipping|shipping.mode|shipping.tags|shipping.logistic_type|shipping.store_pick_up|seller_address.id|seller_address.comment|seller_address.address_line|seller_address.zip_code|seller_address.country.id|seller_address.country.name|seller_address.state.id|seller_address.state.name|seller_address.city.id|seller_address.city.name|seller_address.latitude|seller_address.longitude|differential_pricing.id|sub_cat
0|MCO570955249|MCO|Xiaomi Mi Smart Band 5 Original 100% Pulsera Deportiva|146999||COP|150|250|buy_it_now|gold_special|2040-12-11T14:54:36.000Z|new|https://articulo.mercadolibre.com.co/MCO-570955249-xiaomi-mi-smart-band-5-original-100-pulsera-deportiva-_JM|http://mco-s2-p.mlstatic.com/979974-MCO42684586057_072020-I.jpg|True|[{'source': 4709228965570453, 'id': 'ALPHANUMERIC_MODEL', 'value_id': '8826588', 'value_name': 'XMSH10HM', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'name': 'Modelo alfanumérico', 'value_struct': None, 'values': [{'id': '8826588', 'name': 'XMSH10HM', 'struct': None, 'source': 4709228965570453}]}, {'value_name': 'Xiaomi', 'values': [{'id': '59387', 'name': 'Xiaomi', 'struct': None, 'source': 2860837171021627}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'BRAND', 'value_id': '59387', 'value_struct': None, 'source': 2860837171021627, 'name': 'Marca'}, {'value_name': 'Nuevo', 'value_struct': None, 'values': [{'struct': None, 'source': 2860837171021627, 'id': '2230284', 'name': 'Nuevo'}], 'source': 2860837171021627, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'id': 'LINE', 'value_id': None, 'value_name': 'Smartband', 'value_struct': None, 'source': 3376461333454861, 'name': 'Línea', 'values': [{'id': None, 'name': 'Smartband', 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'name': 'Modelo', 'value_id': '9138233', 'value_name': 'Mi Smart Band 5', 'source': 2860837171021627, 'id': 'MODEL', 'value_struct': None, 'values': [{'source': 2860837171021627, 'id': '9138233', 'name': 'Mi Smart Band 5', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}]||MCO118449||MCO-SMARTWATCHES|MCO15963017|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|1|242854941|||False|False||36|4083.31|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín||||smartwatches
1|MCO582583978|MCO|Samsung Galaxy Watch Active 2 40 Mm Aluminio|799900||COP|250|250|buy_it_now|gold_special|2040-09-09T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-582583978-samsung-galaxy-watch-active-2-40-mm-aluminio-_JM|http://mco-s1-p.mlstatic.com/649606-MCO43461324961_092020-I.jpg|True|[{'attribute_group_id': 'OTHERS', 'source': 4954751883138633, 'id': 'BRAND', 'value_name': 'Samsung', 'values': [{'id': '206', 'name': 'Samsung', 'struct': None, 'source': 4954751883138633}], 'attribute_group_name': 'Otros', 'name': 'Marca', 'value_id': '206', 'value_struct': None}, {'id': 'ITEM_CONDITION', 'value_id': '2230284', 'attribute_group_name': 'Otros', 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'source': 4954751883138633, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_id': 'OTHERS', 'source': 4954751883138633}, {'id': 'LINE', 'name': 'Línea', 'value_id': None, 'value_name': 'ACTIVE', 'attribute_group_id': 'OTHERS', 'source': 4954751883138633, 'value_struct': None, 'values': [{'struct': None, 'source': 4954751883138633, 'id': None, 'name': 'ACTIVE'}], 'attribute_group_name': 'Otros'}, {'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'MODEL', 'name': 'Modelo', 'value_struct': None, 'values': [{'id': '59481', 'name': '2', 'struct': None, 'source': 4954751883138633}], 'value_id': '59481', 'value_name': '2'}]|1149900.0|MCO118449|153.0|MCO-SMARTWATCHES||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']|2|530380977|||False|False||36|22219.44|0|COP|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero||||smartwatches
2|MCO582583976|MCO|Samsung Galaxy Watch Active 2 44 Mm Aluminio|899900||COP|250|200|buy_it_now|gold_special|2040-09-09T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-582583976-samsung-galaxy-watch-active-2-44-mm-aluminio-_JM|http://mco-s1-p.mlstatic.com/999900-MCO43461291496_092020-I.jpg|True|[{'id': 'BRAND', 'value_id': '206', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'name': 'Marca', 'value_name': 'Samsung', 'values': [{'id': '206', 'name': 'Samsung', 'struct': None, 'source': 4954751883138633}], 'attribute_group_id': 'OTHERS'}, {'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 4954751883138633}], 'value_id': '2230284', 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'ITEM_CONDITION'}, {'value_name': 'ACTIVE', 'values': [{'id': None, 'name': 'ACTIVE', 'struct': None, 'source': 4954751883138633}], 'attribute_group_name': 'Otros', 'id': 'LINE', 'name': 'Línea', 'attribute_group_id': 'OTHERS', 'source': 4954751883138633, 'value_id': None, 'value_struct': None}, {'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'MODEL', 'name': 'Modelo', 'value_id': '59481', 'value_name': '2', 'value_struct': None, 'values': [{'id': '59481', 'name': '2', 'struct': None, 'source': 4954751883138633}], 'source': 4954751883138633}]|1249900.0|MCO118449|153.0|MCO-SMARTWATCHES||['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|3|530380977|||False|False||36|24997.22|0|COP|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero||||smartwatches
3|MCO545742930|MCO|Correas Manillas Pulsera Silicone Mi Band 4 / 3|4899||COP|250|500|buy_it_now|gold_special|2039-12-07T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-545742930-correas-manillas-pulsera-silicone-mi-band-4-3-_JM|http://mco-s1-p.mlstatic.com/799249-MCO43469314477_092020-I.jpg|True|[{'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'name': 'Marca', 'value_id': None, 'values': [{'id': None, 'name': 'Genérico', 'struct': None, 'source': 3376461333454861}], 'id': 'BRAND', 'value_name': 'Genérico'}, {'value_struct': None, 'values': [{'name': 'Nuevo', 'struct': None, 'source': 8342579661593500, 'id': '2230284'}], 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_name': 'Otros', 'source': 8342579661593500}, {'id': 'MODEL', 'attribute_group_id': 'OTHERS', 'name': 'Modelo', 'value_id': None, 'value_name': 'Mi Band 4', 'value_struct': None, 'values': [{'id': None, 'name': 'Mi Band 4', 'struct': None, 'source': 6587939990796619}], 'attribute_group_name': 'Otros', 'source': 6587939990796619}]||MCO434353||MCO-WATCH_BANDS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']|4|242854941|||False|False||36|136.08|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|False|me2|['fulfillment']|fulfillment|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín||||smartwatches
4|MCO582583975|MCO|Samsung Galaxy Watch 3 45 Mm + Wireless Charger Pad|1699900||COP|1|25|buy_it_now|gold_special|2040-09-09T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-582583975-samsung-galaxy-watch-3-45-mm-wireless-charger-pad-_JM|http://mco-s2-p.mlstatic.com/834148-MCO43461303054_092020-I.jpg|True|[{'name': 'Marca', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'BRAND', 'value_id': '206', 'value_name': 'Samsung', 'values': [{'source': 4954751883138633, 'id': '206', 'name': 'Samsung', 'struct': None}]}, {'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 4954751883138633}], 'name': 'Condición del ítem', 'value_id': '2230284', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'ITEM_CONDITION', 'value_struct': None}, {'value_id': None, 'value_name': 'ACTIVE', 'attribute_group_id': 'OTHERS', 'source': 4954751883138633, 'attribute_group_name': 'Otros', 'id': 'LINE', 'name': 'Línea', 'value_struct': None, 'values': [{'struct': None, 'source': 4954751883138633, 'id': None, 'name': 'ACTIVE'}]}, {'name': 'Modelo', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'MODEL', 'value_id': '59481', 'value_name': '2', 'value_struct': None, 'values': [{'struct': None, 'source': 4954751883138633, 'id': '59481', 'name': '2'}], 'attribute_group_id': 'OTHERS'}]||MCO118449|153.0|MCO-SMARTWATCHES||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|5|530380977|||False|False||36|47219.44|0|COP|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero||||smartwatches
5|MCO585361668|MCO|Reloj Inteligente Haylou Ls02 Smartwatch Xiaomi Ecosystem|109900||COP|150|500|buy_it_now|gold_special|2040-09-23T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-585361668-reloj-inteligente-haylou-ls02-smartwatch-xiaomi-ecosystem-_JM|http://mco-s1-p.mlstatic.com/941441-MCO44153118751_112020-I.jpg|True|[{'id': 'ALPHANUMERIC_MODEL', 'value_name': 'LS02', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'name': 'Modelo alfanumérico', 'value_id': '9138235', 'value_struct': None, 'values': [{'id': '9138235', 'name': 'LS02', 'struct': None, 'source': 1000427007642219}], 'source': 1000427007642219}, {'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'BRAND', 'name': 'Marca', 'value_id': '8745025', 'value_name': 'Haylou', 'values': [{'id': '8745025', 'name': 'Haylou', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'value_struct': None}, {'attribute_group_id': 'OTHERS', 'value_id': '2230284', 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'ITEM_CONDITION'}, {'source': 6808261514773724, 'id': 'LINE', 'value_id': None, 'value_name': 'LS', 'values': [{'id': None, 'name': 'LS', 'struct': None, 'source': 6808261514773724}], 'name': 'Línea', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'value_struct': None, 'values': [{'struct': None, 'source': 6808261514773724, 'id': None, 'name': 'LS02'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'MODEL', 'name': 'Modelo', 'value_id': None, 'value_name': 'LS02'}]|159900.0|MCO118449||MCO-SMARTWATCHES|MCO16004822|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|6|426283404|||False|False||36|3052.78|0|COP|CO-CUN|Cundinamarca|TUNPQ0NPVGFiYzZm|Cota|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0NPVGFiYzZm|Cota||||smartwatches
6|MCO595399138|MCO|Reloj Inteligente Huawei Fit|399900||COP|1|250|buy_it_now|gold_special|2040-11-15T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-595399138-reloj-inteligente-huawei-fit-_JM|http://mco-s1-p.mlstatic.com/707154-MCO44133357754_112020-I.jpg|True|[{'id': 'ALPHANUMERIC_MODEL', 'name': 'Modelo alfanumérico', 'attribute_group_id': 'OTHERS', 'values': [{'id': '9133406', 'name': 'TIA-B09', 'struct': None, 'source': 4709228965570453}], 'attribute_group_name': 'Otros', 'source': 4709228965570453, 'value_id': '9133406', 'value_name': 'TIA-B09', 'value_struct': None}, {'name': 'Marca', 'value_id': '8784', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'value_name': 'Huawei', 'values': [{'id': '8784', 'name': 'Huawei', 'struct': None, 'source': 4954751883138633}], 'attribute_group_name': 'Otros', 'source': 4954751883138633}, {'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'ITEM_CONDITION', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 4954751883138633}]}, {'name': 'Línea', 'value_id': '6034125', 'id': 'LINE', 'value_name': 'Watch', 'value_struct': None, 'values': [{'struct': None, 'source': 4709228965570453, 'id': '6034125', 'name': 'Watch'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4709228965570453}, {'value_name': 'Huawei Watch FIT', 'attribute_group_name': 'Otros', 'source': 4954751883138633, 'id': 'MODEL', 'name': 'Modelo', 'value_id': None, 'value_struct': None, 'values': [{'id': None, 'name': 'Huawei Watch FIT', 'struct': None, 'source': 4954751883138633}], 'attribute_group_id': 'OTHERS'}]|462101.0|MCO118449|207.0|MCO-SMARTWATCHES|MCO16140706|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|7|530380977|||False|False||36|11108.33|0|COP|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero|True|me2|['fulfillment', 'mandatory_free_shipping']|fulfillment|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0NIQTk2OTI1|Chapinero||||smartwatches
7|MCO580841923|MCO|Correa Manilla Pulsera Silicona Mi Band 5|4899||COP|100|500|buy_it_now|gold_special|2040-08-29T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-580841923-correa-manilla-pulsera-silicona-mi-band-5-_JM|http://mco-s2-p.mlstatic.com/950537-MCO43471174636_092020-I.jpg|True|[{'value_struct': None, 'values': [{'id': None, 'name': 'Genérica para Xiaomi', 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 3376461333454861, 'id': 'BRAND', 'value_id': None, 'value_name': 'Genérica para Xiaomi', 'name': 'Marca'}, {'attribute_group_name': 'Otros', 'source': 2860837171021627, 'name': 'Condición del ítem', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 2860837171021627}], 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_name': 'Nuevo'}, {'value_name': 'Mi Band 5', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 2860837171021627, 'attribute_group_name': 'Otros', 'id': 'MODEL', 'name': 'Modelo', 'value_id': None, 'values': [{'id': None, 'name': 'Mi Band 5', 'struct': None, 'source': 2860837171021627}]}]||MCO434353||MCO-WATCH_BANDS||['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed', 'best_seller_candidate']|8|242854941|||False|False||36|136.08|0|COP|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín|False|me2|['fulfillment']|fulfillment|False|||||CO|Colombia|CO-ANT|Antioquia|TUNPQ01FRGRjNjc4|Medellín||||smartwatches
8|MCO566618931|MCO|Xiaomi Band 5 Original + Protector + Correa Adicional|159900||COP|1|500|buy_it_now|gold_special|2040-06-11T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-566618931-xiaomi-band-5-original-protector-correa-adicional-_JM|http://mco-s2-p.mlstatic.com/716421-MCO43120870543_082020-I.jpg|True|[{'values': [{'id': '59387', 'name': 'Xiaomi', 'struct': None, 'source': 7092}], 'value_id': '59387', 'value_name': 'Xiaomi', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 7092, 'id': 'BRAND', 'name': 'Marca'}, {'value_struct': None, 'source': 6808261514773724, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'attribute_group_name': 'Otros', 'value_id': '2230284', 'values': [{'source': 6808261514773724, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'attribute_group_id': 'OTHERS'}, {'value_id': None, 'value_name': 'global', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'id': 'LINE', 'name': 'Línea', 'values': [{'id': None, 'name': 'global', 'struct': None, 'source': 3376461333454861}], 'attribute_group_name': 'Otros', 'source': 3376461333454861}, {'value_name': 'Mi Band 5', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'MODEL', 'name': 'Modelo', 'value_id': None, 'value_struct': None, 'values': [{'id': None, 'name': 'Mi Band 5', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724}]||MCO118449||MCO-SMARTWATCHES||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|9|62574018|||False|False||36|4441.67|0|COP|CO-NSA|Norte De Santander|TUNPQ0NVQzhhZDhm|Cúcuta|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-NSA|Norte De Santander|TUNPQ0NVQzhhZDhm|Cúcuta||||smartwatches
9|MCO559564169|MCO|Pulsera Reloj Inteligente Smartband Bluetoothtedge Unisex|49900||COP|1|250|buy_it_now|gold_special|2040-09-11T17:10:33.000Z|new|https://articulo.mercadolibre.com.co/MCO-559564169-pulsera-reloj-inteligente-smartband-bluetoothtedge-unisex-_JM|http://mco-s2-p.mlstatic.com/863260-MCO43484152309_092020-I.jpg|True|[{'value_id': None, 'value_struct': None, 'values': [{'source': 3376461333454861, 'id': None, 'name': 'H1108A', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'ALPHANUMERIC_MODEL', 'name': 'Modelo alfanumérico', 'value_name': 'H1108A', 'source': 3376461333454861}, {'source': 6808261514773724, 'id': 'BRAND', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'values': [{'id': '8039499', 'name': 'Tedge', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros', 'name': 'Marca', 'value_id': '8039499', 'value_name': 'Tedge'}, {'id': 'ITEM_CONDITION', 'value_id': '2230284', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'name': 'Condición del ítem', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros'}, {'source': 3376461333454861, 'name': 'Línea', 'value_id': None, 'value_struct': None, 'values': [{'id': None, 'name': 'Tecnología', 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'LINE', 'value_name': 'Tecnología'}, {'name': 'Modelo', 'value_name': 'H1108A', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'MODEL', 'values': [{'id': None, 'name': 'H1108A', 'struct': None, 'source': 6808261514773724}], 'value_id': None}]|69900.0|MCO118449|1219.0|MCO-SMARTWATCHES||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']|10|544453648|||False|False||36|1386.11|0|COP|CO-CUN|Cundinamarca|TUNPQ0ZVTjMxMDQy|Funza|False|me2|['fulfillment']|fulfillment|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0ZVTjMxMDQy|Funza||||smartwatches
