|id|site_id|title|price|sale_price|currency_id|available_quantity|sold_quantity|buying_mode|listing_type_id|stop_time|condition|permalink|thumbnail|accepts_mercadopago|attributes|original_price|category_id|official_store_id|domain_id|catalog_product_id|tags|order_backend|seller.id|seller.permalink|seller.registration_date|seller.car_dealer|seller.real_estate_agency|seller.tags|installments.quantity|installments.amount|installments.rate|installments.currency_id|address.state_id|address.state_name|address.city_id|address.city_name|shipping.free_shipping|shipping.mode|shipping.tags|shipping.logistic_type|shipping.store_pick_up|seller_address.id|seller_address.comment|seller_address.address_line|seller_address.zip_code|seller_address.country.id|seller_address.country.name|seller_address.state.id|seller_address.state.name|seller_address.city.id|seller_address.city.name|seller_address.latitude|seller_address.longitude|differential_pricing.id|sub_cat|installments|prices
0|MCO587974907|MCO|Tv LG 50'' Pulgds 126 Cm 50nano79 Led 4k-uhd Plano Smart Tv|1675766||COP|1|200|buy_it_now|gold_special|2040-10-04T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-587974907-tv-lg-50-pulgds-126-cm-50nano79-led-4k-uhd-plano-smart-tv-_JM|http://mco-s2-p.mlstatic.com/794836-MCO44162483388_112020-I.jpg|True|[{'id': 'ALPHANUMERIC_MODEL', 'name': 'Modelo alfanumérico', 'value_name': '50NANO79DNA', 'values': [{'id': '9697270', 'name': '50NANO79DNA', 'struct': None, 'source': 4709228965570453}], 'attribute_group_name': 'Otros', 'value_id': '9697270', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 4709228965570453}, {'attribute_group_name': 'Otros', 'source': 8492822877720875, 'value_name': 'LG', 'value_struct': None, 'values': [{'struct': None, 'source': 8492822877720875, 'id': '215', 'name': 'LG'}], 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'name': 'Marca', 'value_id': '215'}, {'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 1, 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'values': [{'name': 'Nuevo', 'struct': None, 'source': 1, 'id': '2230284'}], 'attribute_group_id': 'OTHERS'}, {'name': 'Línea', 'value_id': '7101090', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'LINE', 'values': [{'id': '7101090', 'name': 'AI ThinQ', 'struct': None, 'source': 4709228965570453}], 'source': 4709228965570453, 'value_name': 'AI ThinQ'}, {'value_struct': {'number': 20, 'unit': 'W'}, 'values': [{'name': '20 W', 'struct': {'unit': 'W', 'number': 20}, 'source': 4709228965570453, 'id': '999591'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'MAX_SPEAKERS_POWER', 'value_id': '999591', 'source': 4709228965570453, 'name': 'Potencia máxima de los parlantes', 'value_name': '20 W'}, {'id': 'MODEL', 'value_name': '50NANO79', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'name': 'Modelo', 'value_id': '9545629', 'values': [{'id': '9545629', 'name': '50NANO79', 'struct': None, 'source': 1000427007642219}], 'attribute_group_name': 'Otros', 'source': 1000427007642219}]|3299900.0|MCO14903|1043.0|MCO-TELEVISIONS|MCO16951546|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|1|238038329|||False|False||36.0|46549.06|0.0|COP|CO-CUN|Cundinamarca|TUNPQ0ZVTjMxMDQy|Funza|True|me2|['mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0ZVTjMxMDQy|Funza||||televisions||
1|MCO575799018|MCO|Televisor Tedge 50 Pulgadas Uhd Smart |1199000||COP|150|250|buy_it_now|gold_special|2040-08-23T19:35:04.000Z|new|https://articulo.mercadolibre.com.co/MCO-575799018-televisor-tedge-50-pulgadas-uhd-smart-_JM|http://mco-s1-p.mlstatic.com/989223-MCO44060586897_112020-I.jpg|True|[{'values': [{'source': 6808261514773724, 'id': '-1', 'name': None, 'struct': None}], 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'id': 'ALPHANUMERIC_MODEL', 'name': 'Modelo alfanumérico', 'value_name': None, 'value_struct': None, 'value_id': '-1', 'attribute_group_name': 'Otros'}, {'value_name': 'Tedge', 'value_struct': None, 'values': [{'id': '8039499', 'name': 'Tedge', 'struct': None, 'source': 3376461333454861}], 'attribute_group_id': 'OTHERS', 'name': 'Marca', 'value_id': '8039499', 'source': 3376461333454861, 'id': 'BRAND', 'attribute_group_name': 'Otros'}, {'attribute_group_name': 'Otros', 'name': 'Condición del ítem', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'id': 'ITEM_CONDITION', 'value_id': '2230284'}, {'value_struct': None, 'values': [{'id': None, 'name': 'Smart', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724, 'id': 'LINE', 'name': 'Línea', 'value_id': None, 'value_name': 'Smart', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'id': 'MODEL', 'value_id': None, 'value_name': 'TD50N3USM', 'value_struct': None, 'source': 6808261514773724, 'name': 'Modelo', 'values': [{'name': 'TD50N3USM', 'struct': None, 'source': 6808261514773724, 'id': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}]|2799900.0|MCO14903|1219.0|MCO-TELEVISIONS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|2|621790287|||False|False||36.0|33305.56|0.0|COP|CO-CUN|Cundinamarca|TUNPQ0dBQ2U4MmM1|Gachancipá|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0dBQ2U4MmM1|Gachancipá||||televisions||
2|MCO580920869|MCO|Televisor Led Challenger 32ll48 Netflix Tv|709900||COP|1|100|buy_it_now|gold_special|2040-08-30T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-580920869-televisor-led-challenger-32ll48-netflix-tv-_JM|http://mco-s2-p.mlstatic.com/983845-MCO43368804985_092020-I.jpg|True|[{'source': 3039037873642762, 'name': 'Marca', 'value_id': '12316', 'value_struct': None, 'values': [{'name': 'Challenger', 'struct': None, 'source': 3039037873642762, 'id': '12316'}], 'attribute_group_id': 'OTHERS', 'id': 'BRAND', 'value_name': 'Challenger', 'attribute_group_name': 'Otros'}, {'id': 'ITEM_CONDITION', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 3039037873642762}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 3039037873642762, 'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None}, {'id': 'MODEL', 'name': 'Modelo', 'value_id': '9236198', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 3039037873642762, 'value_name': '32LL48', 'values': [{'id': '9236198', 'name': '32LL48', 'struct': None, 'source': 3039037873642762}], 'attribute_group_name': 'Otros'}, {'id': 'WEIGHT', 'value_id': None, 'values': [{'struct': {'number': 5, 'unit': 'kg'}, 'source': 3039037873642762, 'id': None, 'name': '5 kg'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 3039037873642762, 'name': 'Peso', 'value_name': '5 kg', 'value_struct': {'number': 5, 'unit': 'kg'}}]||MCO14903|684.0|MCO-TELEVISIONS|MCO16265715|['good_quality_picture', 'good_quality_thumbnail', 'incomplete_technical_specs', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|3|388583366|||False|False||36.0|19719.44|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ0tFTjQyODYy|Kennedy|True|me2|['mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0tFTjQyODYy|Kennedy||||televisions||
3|MCO573914589|MCO|Televisor LG  50un7300pdc Smart 4k Wifi Garantía De 1 Año|1654000||COP|1|150|buy_it_now|gold_special|2040-07-26T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-573914589-televisor-lg-50un7300pdc-smart-4k-wifi-garantia-de-1-ano-_JM|http://mco-s2-p.mlstatic.com/932091-MCO42955414746_072020-I.jpg|True|[{'attribute_group_name': 'Otros', 'id': 'ALPHANUMERIC_MODEL', 'values': [{'id': '9236178', 'name': '50UN7300PDC', 'struct': None, 'source': 6808261514773724}], 'value_name': '50UN7300PDC', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'name': 'Modelo alfanumérico', 'value_id': '9236178'}, {'id': 'BRAND', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'name': 'Marca', 'value_id': '215', 'value_name': 'LG', 'values': [{'id': '215', 'name': 'LG', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS'}, {'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'attribute_group_name': 'Otros', 'source': 6808261514773724}, {'id': 'LINE', 'name': 'Línea', 'value_id': None, 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'value_name': 'TELEVISORES', 'values': [{'id': None, 'name': 'TELEVISORES', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS'}, {'name': 'Potencia máxima de los parlantes', 'value_name': '20 W', 'values': [{'id': '999591', 'name': '20 W', 'struct': {'number': 20, 'unit': 'W'}, 'source': 4709228965570453}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 4709228965570453, 'id': 'MAX_SPEAKERS_POWER', 'value_id': '999591', 'value_struct': {'number': 20, 'unit': 'W'}}, {'values': [{'struct': None, 'source': 6808261514773724, 'id': None, 'name': '50UN7300PDC'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'MODEL', 'value_id': None, 'value_name': '50UN7300PDC', 'value_struct': None, 'name': 'Modelo', 'source': 6808261514773724}]||MCO14903|1043.0|MCO-TELEVISIONS|MCO16265705|['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment', 'cart_eligible']|4|617781358|||False|False||36.0|45944.44|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ1NBTjkyOTU1|Santa Fe|True|me2|['mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ1NBTjkyOTU1|Santa Fe||||televisions||
4|MCO576295796|MCO|Televisor Tedge 58 Pulgadas 4k Uhd Smart |1499000||COP|150|50|buy_it_now|gold_special|2040-08-23T19:58:17.000Z|new|https://articulo.mercadolibre.com.co/MCO-576295796-televisor-tedge-58-pulgadas-4k-uhd-smart-_JM|http://mco-s1-p.mlstatic.com/989673-MCO44060616069_112020-I.jpg|True|[{'name': 'Modelo alfanumérico', 'value_id': '-1', 'value_name': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'ALPHANUMERIC_MODEL', 'value_struct': None, 'values': [{'id': '-1', 'name': None, 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724}, {'value_id': '8039499', 'value_struct': None, 'values': [{'id': '8039499', 'name': 'Tedge', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724, 'id': 'BRAND', 'name': 'Marca', 'value_name': 'Tedge', 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'value_id': '2230284', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'struct': None, 'source': 6808261514773724, 'id': '2230284', 'name': 'Nuevo'}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'ITEM_CONDITION', 'source': 6808261514773724, 'name': 'Condición del ítem'}, {'id': 'LINE', 'value_id': None, 'value_name': 'SMART', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'name': 'Línea', 'values': [{'source': 6808261514773724, 'id': None, 'name': 'SMART', 'struct': None}], 'source': 6808261514773724}, {'name': 'Modelo', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'MODEL', 'value_id': None, 'value_name': 'LE-58N3', 'values': [{'struct': None, 'source': 6808261514773724, 'id': None, 'name': 'LE-58N3'}]}]|3299900.0|MCO14903|1219.0|MCO-TELEVISIONS||['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|5|621790287|||False|False||36.0|41638.89|0.0|COP|CO-CUN|Cundinamarca|TUNPQ0dBQ2U4MmM1|Gachancipá|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0dBQ2U4MmM1|Gachancipá||||televisions||
5|MCO587908909|MCO|One Box Televisor Samsung Un43tu6900kxz + Barra Hw-t400/zl|1549900||COP|1|50|buy_it_now|gold_special|2040-10-04T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-587908909-one-box-televisor-samsung-un43tu6900kxz-barra-hw-t400zl-_JM|http://mco-s2-p.mlstatic.com/930325-MCO43717475413_102020-I.jpg|True|[{'values': [{'source': 6808261514773724, 'id': '9697271', 'name': 'UN43TU6900KXZL', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'name': 'Modelo alfanumérico', 'value_id': '9697271', 'value_struct': None, 'source': 6808261514773724, 'id': 'ALPHANUMERIC_MODEL', 'value_name': 'UN43TU6900KXZL'}, {'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'value_name': 'Samsung', 'value_struct': None, 'values': [{'id': '206', 'name': 'Samsung', 'struct': None, 'source': 6808261514773724}], 'id': 'BRAND', 'name': 'Marca', 'value_id': '206'}, {'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros', 'value_id': '2230284', 'value_name': 'Nuevo', 'attribute_group_id': 'OTHERS', 'source': 6808261514773724}, {'name': 'Línea', 'value_id': '54944', 'value_name': 'Series 6', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'id': 'LINE', 'values': [{'id': '54944', 'name': 'Series 6', 'struct': None, 'source': 6808261514773724}], 'attribute_group_name': 'Otros'}, {'attribute_group_name': 'Otros', 'id': 'MODEL', 'value_id': None, 'value_name': 'UN43TU6900KXZL', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'name': 'Modelo', 'values': [{'id': None, 'name': 'UN43TU6900KXZL', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724}, {'values': [{'id': '5432798', 'name': '8.3 kg', 'struct': {'number': 8.3, 'unit': 'kg'}, 'source': 1183438784296846}], 'source': 1183438784296846, 'name': 'Peso', 'value_id': '5432798', 'value_name': '8.3 kg', 'value_struct': {'number': 8.3, 'unit': 'kg'}, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'WEIGHT'}]|1799000.0|MCO14903|153.0|MCO-TELEVISIONS|MCO16951547|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|6|235708429|||False|False||36.0|43052.78|0.0|COP|CO-DC|Bogotá D.C.|TUNPQ0ZPTjcyNzAz|Fontibón|True|me2|['mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-DC|Bogotá D.C.|TUNPQ0ZPTjcyNzAz|Fontibón||||televisions||
6|MCO567772348|MCO|Televisor Samsung 43 Pulgadas Smartv Full Hd Tdt|1249900||COP|1|50|buy_it_now|gold_special|2040-06-19T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-567772348-televisor-samsung-43-pulgadas-smartv-full-hd-tdt-_JM|http://mco-s1-p.mlstatic.com/742528-MCO42796992469_072020-I.jpg|True|[{'source': 4709228965570453, 'id': 'ALPHANUMERIC_MODEL', 'name': 'Modelo alfanumérico', 'value_name': 'UN43T5300AGXZD', 'value_struct': None, 'attribute_group_name': 'Otros', 'value_id': '8681871', 'values': [{'name': 'UN43T5300AGXZD', 'struct': None, 'source': 4709228965570453, 'id': '8681871'}], 'attribute_group_id': 'OTHERS'}, {'id': 'BRAND', 'values': [{'id': '206', 'name': 'Samsung', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'name': 'Marca', 'value_id': '206', 'value_name': 'Samsung', 'value_struct': None}, {'name': 'Condición del ítem', 'value_id': '2230284', 'value_name': 'Nuevo', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'id': 'ITEM_CONDITION', 'value_struct': None, 'attribute_group_name': 'Otros'}, {'name': 'Línea', 'value_name': 'Series 5', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'LINE', 'value_id': '90', 'values': [{'id': '90', 'name': 'Series 5', 'struct': None, 'source': 7092}], 'source': 7092}, {'attribute_group_id': 'OTHERS', 'name': 'Potencia máxima de los parlantes', 'values': [{'name': '40 W', 'struct': {'number': 40, 'unit': 'W'}, 'source': 7092, 'id': '7759221'}], 'value_name': '40 W', 'value_struct': {'number': 40, 'unit': 'W'}, 'attribute_group_name': 'Otros', 'source': 7092, 'id': 'MAX_SPEAKERS_POWER', 'value_id': '7759221'}, {'value_name': 'UN43T5300', 'value_struct': None, 'values': [{'id': '8681872', 'name': 'UN43T5300', 'struct': None, 'source': 7092}], 'attribute_group_name': 'Otros', 'id': 'MODEL', 'name': 'Modelo', 'value_id': '8681872', 'attribute_group_id': 'OTHERS', 'source': 7092}, {'value_struct': {'number': 8, 'unit': 'kg'}, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 7092, 'id': 'WEIGHT', 'value_id': '946973', 'value_name': '8 kg', 'name': 'Peso', 'values': [{'id': '946973', 'name': '8 kg', 'struct': {'number': 8, 'unit': 'kg'}, 'source': 7092}]}]||MCO14903||MCO-TELEVISIONS|MCO15796379|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|7|98845539|||False|False||36.0|34719.44|0.0|COP|CO-SAN|Santander|TUNPQ0JVQzkzMTE4|Bucaramanga|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-SAN|Santander|TUNPQ0JVQzkzMTE4|Bucaramanga||||televisions||
7|MCO566080050|MCO|Tv Kalley 43  K-led43fhdsnbt Fhd Smart Tv Amazon Prime|1042769||COP|1|25|buy_it_now|gold_special|2040-06-06T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-566080050-tv-kalley-43-k-led43fhdsnbt-fhd-smart-tv-amazon-prime-_JM|http://mco-s1-p.mlstatic.com/644746-MCO44101809016_112020-I.jpg|True|[{'value_name': 'Kalley', 'attribute_group_id': 'OTHERS', 'name': 'Marca', 'value_id': '7701274', 'value_struct': None, 'values': [{'id': '7701274', 'name': 'Kalley', 'struct': None, 'source': 8492822877720875}], 'attribute_group_name': 'Otros', 'source': 8492822877720875, 'id': 'BRAND'}, {'value_id': '2230284', 'value_name': 'Nuevo', 'values': [{'source': 1, 'id': '2230284', 'name': 'Nuevo', 'struct': None}], 'id': 'ITEM_CONDITION', 'name': 'Condición del ítem', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 1}, {'values': [{'id': '9708727', 'name': 'K-LED43FHDSNBT', 'struct': None, 'source': 1000427007642219}], 'attribute_group_id': 'OTHERS', 'source': 1000427007642219, 'id': 'MODEL', 'value_id': '9708727', 'value_struct': None, 'name': 'Modelo', 'value_name': 'K-LED43FHDSNBT', 'attribute_group_name': 'Otros'}]||MCO14903|398.0|MCO-TELEVISIONS|MCO16998290|['incomplete_technical_specs', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']|8|238038329|||False|False||36.0|28965.81|0.0|COP|CO-CUN|Cundinamarca|TUNPQ0ZVTjMxMDQy|Funza|True|me2|['mandatory_free_shipping']|cross_docking|False|||||CO|Colombia|CO-CUN|Cundinamarca|TUNPQ0ZVTjMxMDQy|Funza||||televisions||
8|MCO585412363|MCO|Televisor Hyundai 43  Smart Fhd Android By Google|1129900||COP|1|250|buy_it_now|gold_special|2040-09-24T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-585412363-televisor-hyundai-43-smart-fhd-android-by-google-_JM|http://mco-s2-p.mlstatic.com/616688-MCO44074370879_112020-I.jpg|True|[{'name': 'Modelo alfanumérico', 'value_struct': None, 'id': 'ALPHANUMERIC_MODEL', 'value_id': None, 'value_name': '7707303153398', 'values': [{'source': 6808261514773724, 'id': None, 'name': '7707303153398', 'struct': None}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724}, {'id': 'BRAND', 'value_name': 'Hyundai', 'value_struct': None, 'values': [{'id': '1089', 'name': 'Hyundai', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'name': 'Marca', 'value_id': '1089', 'attribute_group_name': 'Otros', 'source': 6808261514773724}, {'attribute_group_id': 'OTHERS', 'id': 'ITEM_CONDITION', 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'value_name': 'Nuevo', 'value_struct': None, 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'name': 'Condición del ítem', 'value_id': '2230284'}, {'value_id': None, 'value_name': 'Marrón', 'value_struct': None, 'attribute_group_name': 'Otros', 'id': 'LINE', 'name': 'Línea', 'values': [{'struct': None, 'source': 6808261514773724, 'id': None, 'name': 'Marrón'}], 'attribute_group_id': 'OTHERS', 'source': 6808261514773724}, {'id': 'MODEL', 'value_name': 'HYLED4321AIM', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'name': 'Modelo', 'value_id': '9236197', 'value_struct': None, 'values': [{'id': '9236197', 'name': 'HYLED4321AIM', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS'}]|1600900.0|MCO14903|1064.0|MCO-TELEVISIONS|MCO16265714|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|9|244782814|||False|False||36.0|31386.11|0.0|COP|CO-RIS|Risaralda|TUNPQ1BFUmMwMjJk|Pereira|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-RIS|Risaralda|TUNPQ1BFUmMwMjJk|Pereira||||televisions||
9|MCO566829981|MCO|Televisor Hyundai 32 Smart Hd Borderless - Hyled3244nim|719900||COP|1|250|buy_it_now|gold_special|2040-06-12T04:00:00.000Z|new|https://articulo.mercadolibre.com.co/MCO-566829981-televisor-hyundai-32-smart-hd-borderless-hyled3244nim-_JM|http://mco-s2-p.mlstatic.com/877654-MCO42232454196_062020-I.jpg|True|[{'name': 'Modelo alfanumérico', 'value_id': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'id': 'ALPHANUMERIC_MODEL', 'value_name': 'Hyled3244nim', 'value_struct': None, 'values': [{'id': None, 'name': 'Hyled3244nim', 'struct': None, 'source': 6808261514773724}]}, {'id': 'BRAND', 'name': 'Marca', 'value_id': '1089', 'value_struct': None, 'source': 6808261514773724, 'value_name': 'Hyundai', 'values': [{'id': '1089', 'name': 'Hyundai', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros'}, {'attribute_group_name': 'Otros', 'name': 'Condición del ítem', 'attribute_group_id': 'OTHERS', 'value_name': 'Nuevo', 'value_struct': None, 'values': [{'id': '2230284', 'name': 'Nuevo', 'struct': None, 'source': 6808261514773724}], 'source': 6808261514773724, 'id': 'ITEM_CONDITION', 'value_id': '2230284'}, {'id': 'LINE', 'name': 'Línea', 'value_struct': None, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'source': 6808261514773724, 'value_id': None, 'value_name': 'Marrón', 'values': [{'id': None, 'name': 'Marrón', 'struct': None, 'source': 6808261514773724}]}, {'value_id': '999578', 'value_name': '10 W', 'value_struct': {'unit': 'W', 'number': 10}, 'attribute_group_id': 'OTHERS', 'attribute_group_name': 'Otros', 'id': 'MAX_SPEAKERS_POWER', 'values': [{'struct': {'number': 10, 'unit': 'W'}, 'source': 4709228965570453, 'id': '999578', 'name': '10 W'}], 'source': 4709228965570453, 'name': 'Potencia máxima de los parlantes'}, {'value_name': 'HYLED3244NiM', 'value_struct': None, 'values': [{'id': '9017615', 'name': 'HYLED3244NiM', 'struct': None, 'source': 6808261514773724}], 'attribute_group_id': 'OTHERS', 'source': 6808261514773724, 'id': 'MODEL', 'value_id': '9017615', 'name': 'Modelo', 'attribute_group_name': 'Otros'}]|1028900.0|MCO14903|1064.0|MCO-TELEVISIONS|MCO16119702|['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']|10|244782814|||False|False||36.0|19997.22|0.0|COP|CO-RIS|Risaralda|TUNPQ1BFUmMwMjJk|Pereira|True|me2|['mandatory_free_shipping']|drop_off|False|||||CO|Colombia|CO-RIS|Risaralda|TUNPQ1BFUmMwMjJk|Pereira||||televisions||
